label,name,notice,furigana
可燃ごみ,アイスノン（保冷剤）,,あ
不燃ごみ・有害ごみ(危険物),アイロン,,あ
可燃ごみ,アクリルタワシ,,あ
不燃ごみ・有害ごみ(危険物),アタッシュケース（硬いプラスチック製、金属製。指定袋に入れ、はみ出さずに口が結べるもの）,,あ
可燃ごみ,アタッシュケース（柔らかいプラスチック製）,,あ
不燃ごみ・有害ごみ(危険物),油の空き缶（食用以外）,,あ
不燃ごみ・有害ごみ(危険物),油の空きびん（食用以外）,,あ
可燃ごみ,雨ガッパ,,あ
可燃ごみ,アルミ箔（台所用）,,あ
可燃ごみ,アルミ箔の皿・器等（手で曲げられるもの）,,あ
可燃ごみ,アルミ箔(アルミホイル)の芯,,あ
可燃ごみ,安全靴,,あ
不燃ごみ・有害ごみ(危険物),アンテナ（指定袋に入れ、はみ出さずに口が結べるもの）,,あ
不燃ごみ・有害ごみ(危険物),アンプ(楽器用。指定袋に入れ、はみ出さずに口が結べるもの）,,あ
びん・缶・ペットボトル,一斗缶（食用）,,い
不燃ごみ・有害ごみ(危険物),一斗缶（食用以外）,不燃ごみ指定袋(20リットル)をそれぞれ一つの品物に対して1枚ずつ縛り付けるか、テープなどで貼りつけて排出してください。,い
可燃ごみ,インクリボン,,い
びん・缶・ペットボトル,飲料、酒類のペットボトル,,い
びん・缶・ペットボトル,飲料用びんの金属製キャップ,,い
不燃ごみ・有害ごみ(危険物),植木鉢（割れるような硬いもの。指定袋に入れ、はみ出さずに口が結べるもの）,,う
古紙・布類,ウェディングドレス,洗って開き、乾かしてください。（500ml未満や内側にコーティングのあるものは可燃ごみへ）,う
可燃ごみ,エアーマット（指定袋に入れ、はみ出さずに口が結べるもの）,,え
不燃ごみ・有害ごみ(危険物),エアゾール缶,,え
びん・缶・ペットボトル,栄養ドリンクのびん,,え
不燃ごみ・有害ごみ(危険物),園芸用の支柱（指定袋に入れ、はみ出さずに口が結べるもの）,,え
不燃ごみ・有害ごみ(危険物),塩ビ管（指定袋に入れ、はみ出さずに口が結べるもの）,,え
可燃ごみ,お菓子の個包装・袋(プラスチック製) ,,お
可燃ごみ,おむつ(紙・布) ,,お
不燃ごみ・有害ごみ(危険物),温度計(水銀入り) ,,お
不燃ごみ・有害ごみ(危険物),温度計(水銀入り以外のもの) ,,お
可燃ごみ,貝の殻(牡蛎・あさりなど),,か
不燃ごみ・有害ごみ(危険物),カイロ(金属製),,か
可燃ごみ,カイロ(使い捨て),,か
不燃ごみ・有害ごみ(危険物),鏡,,か
